Product_ID,Store_ID,Product_Name,Category,Units_On_Hand,Reorder_Level,Safety_Stock,Shelf_Life
1001,1,Product_1001,Packaged Food,20,55,19,221
1001,2,Product_1001,Personal Care,176,55,27,125
1001,3,Product_1001,Personal Care,189,56,21,212
1001,4,Product_1001,Packaged Food,22,49,26,91
1001,5,Product_1001,Packaged Food,85,32,28,206
1001,6,Product_1001,Packaged Food,146,95,18,313
1001,7,Product_1001,Beverages,127,71,28,173
1001,8,Product_1001,Packaged Food,68,31,34,82
1001,9,Product_1001,Personal Care,143,76,48,138
1001,10,Product_1001,Packaged Food,41,77,48,252
1001,11,Product_1001,Beverages,132,54,32,250
1001,12,Product_1001,Personal Care,74,37,21,38
1001,13,Product_1001,Beverages,185,36,47,36
1001,14,Product_1001,Beverages,140,59,18,312
1001,15,Product_1001,Beverages,193,24,38,194
1001,16,Product_1001,Beverages,82,27,10,174
1001,17,Product_1001,Personal Care,70,64,13,321
1001,18,Product_1001,Beverages,158,38,48,120
1001,19,Product_1001,Beverages,89,38,48,155
1001,20,Product_1001,Personal Care,172,32,37,155
1001,21,Product_1001,Beverages,147,91,48,30
1001,22,Product_1001,Personal Care,91,81,34,341
1001,23,Product_1001,Packaged Food,165,25,41,202
1001,24,Product_1001,Packaged Food,46,40,25,242
1001,25,Product_1001,Personal Care,163,38,29,76
1001,26,Product_1001,Packaged Food,48,33,24,30
1001,27,Product_1001,Packaged Food,53,22,25,41
1001,28,Product_1001,Beverages,15,91,47,185
1001,29,Product_1001,Packaged Food,7,55,35,165
1001,30,Product_1001,Beverages,59,69,37,249
1001,31,Product_1001,Packaged Food,40,83,36,174
1001,32,Product_1001,Packaged Food,160,96,37,269
1001,33,Product_1001,Packaged Food,140,65,44,282
1001,34,Product_1001,Beverages,81,88,34,39
1001,35,Product_1001,Beverages,108,24,42,94
1002,1,Product_1002,Beverages,176,30,30,311
1002,2,Product_1002,Personal Care,85,78,36,206
1002,3,Product_1002,Packaged Food,160,20,30,340
1002,4,Product_1002,Beverages,196,24,47,288
1002,5,Product_1002,Packaged Food,22,72,46,231
1002,6,Product_1002,Beverages,82,36,30,107
1002,7,Product_1002,Packaged Food,109,20,22,289
1002,8,Product_1002,Beverages,192,51,43,124
1002,9,Product_1002,Personal Care,153,53,12,335
1002,10,Product_1002,Packaged Food,53,24,39,251
1002,11,Product_1002,Personal Care,56,36,32,236
1002,12,Product_1002,Packaged Food,84,33,11,104
1002,13,Product_1002,Personal Care,102,57,43,323
1002,14,Product_1002,Beverages,97,49,24,337
1002,15,Product_1002,Packaged Food,165,98,39,276
1002,16,Product_1002,Beverages,50,24,38,167
1002,17,Product_1002,Packaged Food,73,36,29,98
1002,18,Product_1002,Beverages,5,72,11,234
1002,19,Product_1002,Beverages,42,94,32,212
1002,20,Product_1002,Personal Care,117,35,17,213
1002,21,Product_1002,Packaged Food,194,86,36,122
1002,22,Product_1002,Beverages,60,70,28,306
1002,23,Product_1002,Packaged Food,91,61,31,355
1002,24,Product_1002,Packaged Food,132,31,35,75
1002,25,Product_1002,Beverages,176,97,35,330
1002,26,Product_1002,Personal Care,72,45,31,268
1002,27,Product_1002,Beverages,106,82,26,55
1002,28,Product_1002,Packaged Food,7,71,24,332
1002,29,Product_1002,Personal Care,55,33,35,57
1002,30,Product_1002,Personal Care,77,21,35,43
1002,31,Product_1002,Personal Care,55,26,12,140
1002,32,Product_1002,Personal Care,106,37,47,256
1002,33,Product_1002,Personal Care,14,83,34,148
1002,34,Product_1002,Packaged Food,27,93,48,302
1002,35,Product_1002,Personal Care,85,63,34,174
1003,1,Product_1003,Packaged Food,24,87,19,96
1003,2,Product_1003,Packaged Food,108,37,45,140
1003,3,Product_1003,Beverages,33,27,49,265
1003,4,Product_1003,Personal Care,41,60,46,35
1003,5,Product_1003,Beverages,63,78,15,258
1003,6,Product_1003,Packaged Food,32,72,31,306
1003,7,Product_1003,Beverages,69,23,39,360
1003,8,Product_1003,Beverages,61,43,18,276
1003,9,Product_1003,Personal Care,30,59,46,65
1003,10,Product_1003,Personal Care,5,85,29,249
1003,11,Product_1003,Personal Care,3,98,15,147
1003,12,Product_1003,Packaged Food,93,70,11,364
1003,13,Product_1003,Personal Care,135,45,14,355
1003,14,Product_1003,Beverages,117,87,28,241
1003,15,Product_1003,Packaged Food,19,31,10,119
1003,16,Product_1003,Beverages,63,57,46,168
1003,17,Product_1003,Personal Care,99,96,12,190
1003,18,Product_1003,Beverages,177,29,14,167
1003,19,Product_1003,Beverages,12,59,11,113
1003,20,Product_1003,Packaged Food,62,92,26,294
1003,21,Product_1003,Personal Care,142,43,47,123
1003,22,Product_1003,Personal Care,48,88,23,166
1003,23,Product_1003,Beverages,75,54,10,325
1003,24,Product_1003,Beverages,59,83,38,357
1003,25,Product_1003,Personal Care,104,33,39,320
1003,26,Product_1003,Packaged Food,164,24,28,107
1003,27,Product_1003,Beverages,61,23,34,266
1003,28,Product_1003,Beverages,88,37,49,357
1003,29,Product_1003,Personal Care,103,33,41,208
1003,30,Product_1003,Packaged Food,165,42,24,182
1003,31,Product_1003,Packaged Food,193,97,49,133
1003,32,Product_1003,Personal Care,38,70,15,163
1003,33,Product_1003,Personal Care,134,70,17,71
1003,34,Product_1003,Personal Care,110,48,42,260
1003,35,Product_1003,Personal Care,163,48,47,126
1004,1,Product_1004,Packaged Food,154,74,42,283
1004,2,Product_1004,Beverages,65,29,14,152
1004,3,Product_1004,Beverages,96,57,22,188
1004,4,Product_1004,Personal Care,108,71,24,186
1004,5,Product_1004,Packaged Food,156,66,13,361
1004,6,Product_1004,Packaged Food,129,46,40,144
1004,7,Product_1004,Personal Care,163,55,35,328
1004,8,Product_1004,Personal Care,68,39,20,283
1004,9,Product_1004,Beverages,103,57,15,229
1004,10,Product_1004,Personal Care,46,65,21,247
1004,11,Product_1004,Packaged Food,103,81,27,140
1004,12,Product_1004,Personal Care,99,87,14,322
1004,13,Product_1004,Personal Care,105,50,18,80
1004,14,Product_1004,Packaged Food,39,60,31,296
1004,15,Product_1004,Personal Care,0,65,46,139
1004,16,Product_1004,Beverages,56,20,49,178
1004,17,Product_1004,Personal Care,52,28,19,342
1004,18,Product_1004,Packaged Food,153,60,44,92
1004,19,Product_1004,Packaged Food,89,94,47,239
1004,20,Product_1004,Personal Care,161,36,33,54
1004,21,Product_1004,Personal Care,179,89,33,190
1004,22,Product_1004,Packaged Food,28,82,31,183
1004,23,Product_1004,Beverages,48,90,26,113
1004,24,Product_1004,Packaged Food,176,39,31,92
1004,25,Product_1004,Packaged Food,103,68,16,286
1004,26,Product_1004,Packaged Food,178,75,28,347
1004,27,Product_1004,Beverages,28,68,38,315
1004,28,Product_1004,Personal Care,17,20,23,204
1004,29,Product_1004,Beverages,193,57,13,293
1004,30,Product_1004,Packaged Food,54,22,41,295
1004,31,Product_1004,Beverages,109,53,42,116
1004,32,Product_1004,Personal Care,31,69,16,37
1004,33,Product_1004,Packaged Food,56,86,33,284
1004,34,Product_1004,Packaged Food,71,73,46,96
1004,35,Product_1004,Personal Care,96,27,43,320
1005,1,Product_1005,Beverages,31,65,25,194
1005,2,Product_1005,Beverages,141,74,27,36
1005,3,Product_1005,Beverages,6,52,32,114
1005,4,Product_1005,Personal Care,111,38,45,314
1005,5,Product_1005,Beverages,1,20,14,40
1005,6,Product_1005,Beverages,129,86,32,148
1005,7,Product_1005,Packaged Food,36,57,39,255
1005,8,Product_1005,Packaged Food,171,43,26,231
1005,9,Product_1005,Beverages,119,78,32,157
1005,10,Product_1005,Packaged Food,113,33,18,69
1005,11,Product_1005,Beverages,24,92,31,264
1005,12,Product_1005,Beverages,3,45,38,138
1005,13,Product_1005,Beverages,36,94,15,175
1005,14,Product_1005,Packaged Food,41,60,47,63
1005,15,Product_1005,Packaged Food,164,44,47,105
1005,16,Product_1005,Personal Care,116,46,40,163
1005,17,Product_1005,Personal Care,167,31,16,202
