Date,Store_ID,Product_ID,Units_Sold,Price,Discount
2023-01-01,10,1013,3,208.58,0.16
2023-01-01,23,1099,6,40.39,0.02
2023-01-01,9,1047,16,226.65,0.05
2023-01-01,15,1018,11,133.45,0.2
2023-01-01,26,1072,1,256.0,0.2
2023-01-01,4,1070,12,488.04,0.07
2023-01-01,8,1013,0,214.38,0.29
2023-01-01,27,1079,19,440.14,0.28
2023-01-01,23,1048,16,555.87,0.24
2023-01-01,17,1095,5,156.26,0.02
2023-01-01,6,1006,19,391.03,0.21
2023-01-01,7,1051,16,201.5,0.02
2023-01-01,26,1058,1,343.56,0.21
2023-01-01,30,1075,12,241.59,0.25
2023-01-01,29,1056,4,381.66,0.17
2023-01-01,5,1044,13,69.53,0.01
2023-01-01,26,1005,16,562.07,0.29
2023-01-01,14,1075,8,228.75,0.12
2023-01-01,6,1065,15,597.65,0.15
2023-01-01,3,1067,4,223.49,0.17
2023-01-02,1,1071,14,551.13,0.19
2023-01-02,30,1055,13,515.37,0.2
2023-01-02,25,1009,8,384.46,0.02
2023-01-02,34,1052,8,404.07,0.25
2023-01-02,17,1016,7,84.37,0.26
2023-01-02,9,1028,18,177.4,0.17
2023-01-02,12,1018,19,42.28,0.13
2023-01-02,2,1030,8,136.36,0.13
2023-01-02,24,1017,3,585.43,0.29
2023-01-02,9,1061,18,20.83,0.1
2023-01-02,2,1005,6,211.61,0.05
2023-01-02,17,1091,6,441.37,0.13
2023-01-02,32,1082,5,539.46,0.25
2023-01-02,31,1009,7,257.41,0.06
2023-01-02,34,1057,3,354.99,0.29
2023-01-02,19,1043,9,575.89,0.26
2023-01-02,18,1088,8,95.52,0.13
2023-01-02,3,1023,10,330.61,0.21
2023-01-02,13,1029,5,466.36,0.02
2023-01-02,26,1084,4,477.25,0.24
2023-01-03,8,1048,12,251.64,0.09
2023-01-03,22,1034,17,567.79,0.25
2023-01-03,26,1078,8,143.66,0.29
2023-01-03,16,1042,9,317.33,0.06
2023-01-03,22,1061,15,375.24,0.19
2023-01-03,4,1094,1,286.6,0.01
2023-01-03,21,1085,15,82.46,0.07
2023-01-03,26,1002,8,295.58,0.27
2023-01-03,11,1089,3,207.53,0.17
2023-01-03,35,1050,7,577.14,0.05
2023-01-03,7,1019,7,37.62,0.06
2023-01-03,29,1077,15,196.36,0.12
2023-01-03,5,1098,10,239.82,0.02
2023-01-03,9,1008,11,345.78,0.13
2023-01-03,19,1098,16,266.97,0.15
2023-01-03,30,1066,12,561.42,0.26
2023-01-03,17,1031,14,438.91,0.01
2023-01-03,7,1018,10,188.95,0.08
2023-01-03,28,1050,1,33.82,0.27
2023-01-03,24,1048,12,359.26,0.16
2023-01-04,2,1018,16,282.88,0.17
2023-01-04,17,1023,1,490.67,0.28
2023-01-04,34,1018,9,61.49,0.15
2023-01-04,17,1059,12,370.3,0.06
2023-01-04,27,1064,1,52.34,0.1
2023-01-04,33,1012,12,438.54,0.17
2023-01-04,17,1050,7,41.82,0.0
2023-01-04,15,1095,14,371.69,0.21
2023-01-04,1,1098,14,464.11,0.27
2023-01-04,33,1085,13,475.81,0.21
2023-01-04,6,1037,1,439.88,0.15
2023-01-04,5,1090,8,456.49,0.28
2023-01-04,12,1069,1,176.92,0.21
2023-01-04,10,1013,11,468.02,0.08
2023-01-04,10,1022,7,562.02,0.09
2023-01-04,21,1085,13,576.56,0.1
2023-01-04,22,1030,8,245.45,0.22
2023-01-04,5,1027,5,19.71,0.23
2023-01-04,21,1018,13,281.53,0.24
2023-01-04,32,1028,6,303.93,0.19
2023-01-05,18,1070,10,80.64,0.3
2023-01-05,8,1035,4,52.85,0.22
2023-01-05,21,1024,16,136.91,0.13
2023-01-05,4,1089,1,273.85,0.05
2023-01-05,13,1031,6,241.39,0.15
2023-01-05,25,1028,3,349.78,0.06
